latitude,longitude,state_name,district,taluka_name,sowing_period,year,crop_name,ndvi_capture_period,ndvi_value,location,ndvi_capture_date,interval_range,sowing_year,sowing_date,harvest_year,harvest_period
26.5612976,78.6300501999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,182.5,,,,2022,,2023,mar_1f
26.30724425,77.59223525,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
24.6859741399999,78.87470673,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,184.0,,,,2022,,2023,mar_1f
26.3465801,78.4927715999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,164.0,,,,2022,,2023,mar_1f
24.629189,78.9162108999999,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
26.45736466,77.67319795,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,181.0,,,,2022,,2023,mar_1f
26.4706626,78.4493549999999,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,163.0,,,,2022,,2023,mar_1f
26.55219525,77.9903357299999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,171.0,,,,2022,,2023,mar_1f
26.3526101,78.5172572,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,168.0,,,,2022,,2023,mar_1f
26.3686489,78.4654706,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,177.0,,,,2022,,2023,mar_1f
26.2644799999999,78.8473644,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,153.0,,,,2022,,2023,mar_1f
26.2969088999999,78.8383149,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,149.0,,,,2022,,2023,mar_1f
24.7461999,79.2348238299999,Madhya Pradesh,TIKAMGARH,,nov_1f,,Mustard,jan_1f,180.0,,,,2022,,2023,mar_1f
26.4418566,78.3848452,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,166.0,,,,2022,,2023,mar_1f
26.54990009,78.21761972,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,169.0,,,,2022,,2023,mar_1f
26.35473045,77.9209949499999,Madhya Pradesh,MORENA,,nov_1f,,Mustard,jan_1f,179.0,,,,2022,,2023,mar_1f
26.3463032999999,78.5081416,Madhya Pradesh,BHIND,,nov_1f,,Mustard,jan_1f,170.0,,,,2022,,2023,mar_1f
24.3718293999999,77.0396022999999,Madhya Pradesh,GUNA,,oct_2f,,Mustard,jan_1f,186.0,,,,2022,,2023,mar_1f
